日期,版本,事件Id,事件名称,消息数量,独立用户数
2020-11-15,null,TAdvanceSacrifice.alert,献祭推荐.提示,1,1
2020-11-15,null,TTrade.changeDistance,K线.间隔,1,1
2020-11-15,null,Say.doSay,吐槽.新吐槽,1,1
2020-11-15,null,Zone.tabsPress,空间.标签页点击,1,1
2020-11-15,null,TNew.onSortPress,新番榜单.排序,1,1
2020-11-15,null,TAdvanceAuction.alert,拍卖推荐.提示,1,1
2020-11-15,null,Tag.onMonthSelect,用户标签.月选择,1,1
2020-11-15,null,Catalog.prev,目录.上一页,1,1
2020-11-15,null,TCharaAssets.doBatchAsk,我的持仓.批量挂单,1,1
2020-11-15,null,Calendar.topRightMenu,每日放送.右上角菜单,1,1
2020-11-15,null,CatalogDetail.to,目录详情.跳转,1,1
2020-11-15,null,RakuenSearch.deleteHistory,帖子搜索.删除历史,1,1
2020-11-15,null,CatalogDetail.topRightMenu,目录详情.右上角菜单,1,1
2020-11-15,null,TSacrifice.imageView,资产重组.封面图查看,2,2
2020-11-15,null,PM.doReply,短信.回复短信,2,1
2020-11-15,null,Zone.used,空间.历史,2,2
2020-11-15,null,Tag.toggleList,用户标签.切换布局,2,1
2020-11-15,null,TCharaAssets.onSelectGo,我的持仓.设置前往,2,1
2020-11-15,null,Group.doSearch,小组.页码跳转,2,1
2020-11-15,null,Search.topRightMenu,搜索.右上角菜单,2,2
2020-11-15,null,Group.doJoin,小组.加入,2,1
2020-11-15,null,Topic.doDeleteReply,帖子.删除回复,2,1
2020-11-15,null,Home.doUpdateCollection,首页.管理收藏,2,2
2020-11-15,null,Home.doUpdateNext,首页.更新书籍下一个章节,2,1
2020-11-15,null,Group.topRightMenu,小组.右上角菜单,2,1
2020-11-15,null,Blog.scrollTo,日志.楼层跳转,2,2
2020-11-15,null,TRelation.to,关联角色.跳转,2,1
2020-11-15,null,ServerStatus.pingAll,网络探针.全部检测,2,2
2020-11-15,null,Random.to,随便看看.跳转,2,1
2020-11-15,null,Zone.connect,空间.添加好友,2,2
2020-11-15,null,DiscoveryBlog.to,全站日志.跳转,2,1
2020-11-15,null,TBid.onSortPress,我的委托.排序,2,2
2020-11-15,null,Timeline.onSelectScope,时间胶囊.切换类型,3,3
2020-11-15,null,Mono.doCollect,人物.收藏人物,3,2
2020-11-15,null,Home.doEpsLongPress,首页.章节按钮长按,3,1
2020-11-15,null,CatalogDetail.doCollect,目录详情.收藏,3,2
2020-11-15,null,UserSetting.origin,个人设置.查看原图,3,2
2020-11-15,null,TSacrifice.toggleCover,资产重组.展开收起封面,3,2
2020-11-15,null,TAdvanceAsk.alert,卖一推荐.提示,3,3
2020-11-15,null,Catalog.next,目录.下一页,3,2
2020-11-15,null,Home.showManageModal,首页.显示收藏管理,3,3
2020-11-15,null,TValhall.onSortPress,英灵殿.排序,4,2
2020-11-15,null,Topic.topRightMenu,帖子.右上角菜单,4,4
2020-11-15,null,TCharaAssets.doBatchSacrifice,我的持仓.批量献祭,4,3
